course_id,name,account_id,term_id,term_name,total_students,n_students_with_grades,grade_mean,grade_variance,pass_rate,n_assignments,n_modules,recommendation
82610,CTRL GEST. DRLLO. ORGA.-P01,250,336,Segundo Semestre - 2025-Periodo Completo,29,29,61.50965517241378,18.930586176464324,0.4827586206896552,9,9,HIGH POTENTIAL
82600,SISTEMAS DE CONTROL DE GESTIÓN-P01,250,336,Segundo Semestre - 2025-Periodo Completo,30,30,86.49433333333334,10.311807369332604,1.0,12,8,MEDIUM POTENTIAL
81771,AUDITORÍA DE SIST. DE INFO.-P02,250,336,Segundo Semestre - 2025-Periodo Completo,26,26,0.0,0.0,0.0,3,10,LOW - Low grade variance
82615,INTELIGENCIA DE NEGOCIOS-P01,250,336,Segundo Semestre - 2025-Periodo Completo,27,27,0.0,0.0,0.0,7,3,LOW - Low grade variance
82603,AUDITORÍA Y CONTROL INTERNO -P01,250,336,Segundo Semestre - 2025-Periodo Completo,52,0,0.0,0.0,,0,10,SKIP - No grades
82604,PROGRAMACIÓN Y ARQ. DE SIST.-P02,250,336,Segundo Semestre - 2025-Periodo Completo,23,0,0.0,0.0,,7,11,SKIP - No grades
82605,GESTIÓN TRIBUTARIA-P01,250,336,Segundo Semestre - 2025-Periodo Completo,45,0,0.0,0.0,,0,10,SKIP - No grades
82608,SEMIN. INVEST. (EV. CICLO)-P02,250,336,Segundo Semestre - 2025-Periodo Completo,21,0,0.0,0.0,,0,10,SKIP - No grades
82609,COSTOS PARA LA TOMA DECISIONES-P01,250,336,Segundo Semestre - 2025-Periodo Completo,45,0,0.0,0.0,,0,10,SKIP - No grades
82614,VALORACIÓN DE EMPRESAS-P01,250,336,Segundo Semestre - 2025-Periodo Completo,42,0,0.0,0.0,,0,14,SKIP - No grades
82616,AUDITORÍA TRIBUTARIA -P01,250,336,Segundo Semestre - 2025-Periodo Completo,40,0,0.0,0.0,,0,10,SKIP - No grades
82617,FORM. Y EVALUACIÓN DE PROY.-P01,250,336,Segundo Semestre - 2025-Periodo Completo,39,0,0.0,0.0,,0,10,SKIP - No grades
82631,PLANIFICACIÓN ESTRATÉGICA -P01,250,336,Segundo Semestre - 2025-Periodo Completo,47,0,0.0,0.0,,0,10,SKIP - No grades
82632,GESTIÓN FINANCIERA CORTO PLAZO-P01,250,336,Segundo Semestre - 2025-Periodo Completo,49,0,0.0,0.0,,0,10,SKIP - No grades
85792,CONSULTORÍA EN CONTROL DE GEST-P01,250,336,Segundo Semestre - 2025-Periodo Completo,27,0,0.0,0.0,,2,19,SKIP - No grades
