course_id,name,account_id,term_id,term_name,total_students,n_students_with_grades,grade_mean,grade_variance,pass_rate,n_assignments,n_modules,recommendation
81779,TEORÍA DEL PROCESO-P01,253,336,Segundo Semestre - 2025-Periodo Completo,41,41,0.0,0.0,0.0,3,14,LOW - Low grade variance
81847,DERECHO Y GARANTÍAS CONSTITUCI-P03,253,336,Segundo Semestre - 2025-Periodo Completo,47,47,0.0,0.0,0.0,5,11,LOW - Low grade variance
85781,HISTORIA INSTITUCIONAL DE CHIL-P01,253,336,Segundo Semestre - 2025-Periodo Completo,51,51,0.0,0.0,0.0,20,19,LOW - Low grade variance
85782,ARGUMENTACIÓN JURÍDICA Y DEBAT-P01,253,336,Segundo Semestre - 2025-Periodo Completo,37,37,0.0,0.0,0.0,20,19,LOW - Low grade variance
85784,TEORÍA DE LA LEY Y LAS PERSONA-P05,253,336,Segundo Semestre - 2025-Periodo Completo,39,39,0.0,0.0,0.0,20,19,LOW - Low grade variance
85785,TEORÍA CONSTITUCIONAL-P05,253,336,Segundo Semestre - 2025-Periodo Completo,52,52,0.0,0.0,0.0,24,19,LOW - Low grade variance
85787,FUNDAMENTOS FILOSÓFICOS DEL DE-P01,253,336,Segundo Semestre - 2025-Periodo Completo,52,52,0.0,0.0,0.0,30,19,LOW - Low grade variance
86657,ARGUMENTACIÓN JURÍDICA Y DEBAT-P02,253,336,Segundo Semestre - 2025-Periodo Completo,49,49,0.0,0.0,0.0,20,19,LOW - Low grade variance
86658,TEORÍA CONSTITUCIONAL-P03,253,336,Segundo Semestre - 2025-Periodo Completo,49,49,0.0,0.0,0.0,24,19,LOW - Low grade variance
86659,TEORÍA DE LA LEY Y LAS PERSONA-P03,253,336,Segundo Semestre - 2025-Periodo Completo,53,53,0.0,0.0,0.0,20,20,LOW - Low grade variance
86660,FUNDAMENTOS FILOSÓFICOS DEL DE-P03,253,336,Segundo Semestre - 2025-Periodo Completo,45,45,0.0,0.0,0.0,30,19,LOW - Low grade variance
86661,HISTORIA INSTITUCIONAL DE CHIL-P05,253,336,Segundo Semestre - 2025-Periodo Completo,42,42,0.0,0.0,0.0,20,19,LOW - Low grade variance
86662,TEORÍA DE LA LEY Y LAS PERSONA-P01,253,336,Segundo Semestre - 2025-Periodo Completo,54,54,0.0,0.0,0.0,20,19,LOW - Low grade variance
86663,FUNDAMENTOS FILOSÓFICOS DEL DE-P05,253,336,Segundo Semestre - 2025-Periodo Completo,50,50,0.0,0.0,0.0,30,19,LOW - Low grade variance
86664,TEORÍA CONSTITUCIONAL-P01,253,336,Segundo Semestre - 2025-Periodo Completo,52,52,0.0,0.0,0.0,24,19,LOW - Low grade variance
86665,ARGUMENTACIÓN JURÍDICA Y DEBAT-P03,253,336,Segundo Semestre - 2025-Periodo Completo,51,51,0.0,0.0,0.0,20,19,LOW - Low grade variance
86666,HISTORIA INSTITUCIONAL DE CHIL-P03,253,336,Segundo Semestre - 2025-Periodo Completo,50,50,0.0,0.0,0.0,20,19,LOW - Low grade variance
