course_id,name,account_id,term_id,term_name,total_students,n_students_with_grades,grade_mean,grade_variance,pass_rate,n_assignments,n_modules,recommendation
86321,ECONOMETRÍA-P03,311,336,Segundo Semestre - 2025-Periodo Completo,32,32,38.9790625,35.14155502743289,0.4375,22,24,HIGH POTENTIAL
86025,TALL DE COMPETENCIAS DIGITALES-P05,311,336,Segundo Semestre - 2025-Periodo Completo,26,26,48.57692307692309,35.083320907764126,0.5,18,4,HIGH POTENTIAL
86022,TALL DE COMPETENCIAS DIGITALES-P04,311,336,Segundo Semestre - 2025-Periodo Completo,44,44,58.25681818181818,28.553878161431086,0.6136363636363636,18,4,HIGH POTENTIAL
86021,TALL DE COMPETENCIAS DIGITALES-P03,311,336,Segundo Semestre - 2025-Periodo Completo,50,50,61.6526,23.463497677030166,0.64,18,4,HIGH POTENTIAL
86687,MATEMÁTICAS PARA LOS NEGOCIOS-P05,311,336,Segundo Semestre - 2025-Periodo Completo,39,39,13.846153846153847,27.699429283705435,0.1794871794871795,18,20,MEDIUM POTENTIAL
86679,FUND DE BUSINESS ANALYTICS-P04,311,336,Segundo Semestre - 2025-Periodo Completo,32,32,25.5628125,23.05179578611705,0.125,24,15,MEDIUM POTENTIAL
82758,ESPECIALIDAD IV-P02,311,336,Segundo Semestre - 2025-Periodo Completo,30,30,80.24000000000001,21.011577760844137,0.8666666666666667,7,10,MEDIUM POTENTIAL
82751,ESPECIALIDAD IV-P01,311,336,Segundo Semestre - 2025-Periodo Completo,33,33,77.97969696969697,19.682786585922244,0.9090909090909091,9,10,MEDIUM POTENTIAL
85851,ATR Y RET TAL EN ERA DIGITAL-P02,311,336,Segundo Semestre - 2025-Periodo Completo,45,45,69.22866666666667,17.153353880023964,0.8444444444444444,26,18,MEDIUM POTENTIAL
86691,LAB DE CONTABILIDAD Y COSTOS-P13,311,336,Segundo Semestre - 2025-Periodo Completo,42,42,10.53452380952381,14.29329166700255,0.023809523809523808,18,19,MEDIUM POTENTIAL
86672,FUND DE BUSINESS ANALYTICS-P03,311,336,Segundo Semestre - 2025-Periodo Completo,22,22,75.58818181818182,11.850239980831857,0.8636363636363636,7,13,MEDIUM POTENTIAL
