course_id,course_name,user_id,final_score,current_score,failed,total_activity_time,page_views,page_views_level,participations,participations_level,on_time,late,missing,morning_activity,afternoon_activity,evening_activity,night_activity,dominant_time,is_morning_studier,is_evening_studier,time_concentration,activity_span_days,unique_active_hours,avg_gap_hours,gap_std_hours,modules_completed,first_module_time
86005,TALL DE COMPETENCIAS DIGITALES-P01,116093,69.11,84.28,0,8739,789,2,17,3,14,0,4,78,314,281,116,afternoon,0,0,0.3979721166032953,127,50,62.57142857142857,73.01663215616406,4,2025-08-09T23:00:40+00:00
86005,TALL DE COMPETENCIAS DIGITALES-P01,117462,84.62,84.62,0,14924,1234,3,20,3,17,0,1,173,511,361,189,afternoon,0,0,0.4141004862236629,146,97,36.53125,60.168851493976234,4,2025-08-08T02:46:00+00:00
86005,TALL DE COMPETENCIAS DIGITALES-P01,90356,78.99,89.76,0,1430,177,1,6,1,5,0,13,0,38,60,79,night,0,0,0.4463276836158192,107,13,215.91666666666666,315.8173148972185,4,2025-08-18T02:05:56+00:00
86005,TALL DE COMPETENCIAS DIGITALES-P01,91729,78.14,88.8,0,8525,670,2,7,2,5,0,11,232,183,189,66,morning,1,0,0.34626865671641793,128,53,59.19230769230769,71.91261750355787,4,2025-07-29T12:13:46+00:00
86005,TALL DE COMPETENCIAS DIGITALES-P01,115214,82.95,88.24,0,10542,564,2,18,3,13,0,5,97,188,85,194,night,0,0,0.34397163120567376,128,55,57.166666666666664,64.88986395766634,4,2025-08-08T02:46:00+00:00
86005,TALL DE COMPETENCIAS DIGITALES-P01,113358,75.9,86.25,0,5358,782,2,13,2,12,0,6,127,133,386,136,evening,0,1,0.4936061381074169,133,75,43.32432432432432,44.09146148513127,4,2025-07-29T23:01:05+00:00
86005,TALL DE COMPETENCIAS DIGITALES-P01,115253,87.15,92.71,0,5727,1505,3,21,3,16,0,2,116,770,527,92,afternoon,0,0,0.5116279069767442,135,86,38.2,45.242821985111306,4,2025-08-08T02:46:00+00:00
86005,TALL DE COMPETENCIAS DIGITALES-P01,88268,81.6,81.6,0,34267,622,2,12,2,10,0,8,49,271,243,59,afternoon,0,0,0.43569131832797425,127,72,43.16901408450704,63.25044918072268,4,2025-08-08T20:55:19+00:00
86005,TALL DE COMPETENCIAS DIGITALES-P01,117762,77.96,88.59,0,8961,1280,3,14,2,13,0,5,253,372,372,283,afternoon,0,1,0.290625,134,68,48.343283582089555,50.234243015174826,4,2025-08-10T23:23:36+00:00
86005,TALL DE COMPETENCIAS DIGITALES-P01,115459,73.89,83.97,0,7361,423,2,11,2,10,0,8,111,247,36,29,afternoon,0,0,0.5839243498817966,120,42,70.3170731707317,103.88958468522154,4,2025-08-08T02:46:00+00:00
86005,TALL DE COMPETENCIAS DIGITALES-P01,87609,51.8,74.0,1,3230,210,1,2,1,2,0,16,58,53,80,19,evening,0,1,0.38095238095238093,111,20,141.0,268.58635776775293,4,2025-08-19T11:49:55+00:00
86005,TALL DE COMPETENCIAS DIGITALES-P01,114072,75.41,85.69,0,35293,2064,3,18,3,15,0,3,671,473,521,399,morning,1,0,0.3250968992248062,131,97,32.875,40.07915345496542,4,2025-08-08T02:46:00+00:00
86005,TALL DE COMPETENCIAS DIGITALES-P01,86824,44.45,63.5,1,5656,223,1,2,1,2,0,16,60,97,46,20,afternoon,0,0,0.4349775784753363,133,39,84.47368421052632,121.47790287301882,4,2025-08-11T19:38:31+00:00
86005,TALL DE COMPETENCIAS DIGITALES-P01,87160,70.83,93.2,0,18865,444,2,8,2,7,0,11,89,166,52,137,afternoon,0,0,0.3738738738738739,129,38,84.27027027027027,122.38610781626089,4,2025-08-09T16:20:55+00:00
86005,TALL DE COMPETENCIAS DIGITALES-P01,116007,80.31,91.26,0,8094,1350,3,17,3,15,0,3,305,472,465,108,afternoon,0,0,0.3496296296296296,129,75,41.891891891891895,63.87647868232232,4,2025-07-29T16:39:03+00:00
86005,TALL DE COMPETENCIAS DIGITALES-P01,114662,57.0,87.69,0,14021,626,2,20,3,16,0,2,66,116,340,104,evening,0,1,0.5431309904153354,136,66,50.323076923076925,52.070693866735766,4,2025-08-11T21:10:53+00:00
