course_id,name,students,design_resources,modules,assignments,quizzes,avg_activity_time_hrs,total_activity_time_hrs,avg_page_views,total_page_views,avg_participations,total_participations,students_with_activity,activity_rate,engagement_level
86689,GESTIÓN DEL TALENTO-P01,40,290,28,55,7,2.1956805555555556,87.82722222222222,743.175,29727,10.45,418,39,0.975,High
86161,INGLÉS II-P01,26,274,38,36,0,1.3458119658119658,34.99111111111111,313.38461538461536,8148,1.3076923076923077,34,25,0.9615384615384616,Medium
86153,PLANIFICACIÓN ESTRATÉGICA-P02,39,250,26,24,0,0.11900997150997152,4.641388888888889,420.8205128205128,16412,1.6923076923076923,66,18,0.46153846153846156,Medium
86155,DERECHO TRIBUTARIO-P01,36,250,26,24,0,0.22826388888888888,8.2175,268.4166666666667,9663,1.0277777777777777,37,4,0.1111111111111111,Medium
86177,PLANIFICACIÓN ESTRATÉGICA-P01,29,250,26,24,0,0.06509578544061302,1.8877777777777778,262.55172413793105,7614,0.7931034482758621,23,16,0.5517241379310345,Medium
86179,DERECHO TRIBUTARIO-P02,28,250,26,24,0,0.17114087301587302,4.791944444444445,414.2142857142857,11598,1.4285714285714286,40,9,0.32142857142857145,Medium
76755,PENSAMIENTO MATEMÁTICO-P03,44,240,19,21,0,4.926950757575757,216.78583333333333,574.8181818181819,25292,5.886363636363637,259,44,1.0,High
86676,FUND DE BUSINESS ANALYTICS-P01,40,239,15,24,0,3.060416666666667,122.41666666666667,728.9,29156,10.275,411,37,0.925,High
86677,MATEMÁTICAS PARA LOS NEGOCIOS-P01,44,239,20,19,0,1.0007638888888888,44.033611111111114,605.8636363636364,26658,8.295454545454545,365,40,0.9090909090909091,High
86686,MATEMÁTICAS PARA LOS NEGOCIOS-P03,41,238,19,19,0,2.0361043360433606,83.48027777777777,497.0975609756098,20381,1.5853658536585367,65,39,0.9512195121951219,Medium
85822,LAB DE CONTABILIDAD Y COSTOS-P01,39,237,19,18,0,0.024252136752136753,0.9458333333333333,779.0,30381,10.58974358974359,413,6,0.15384615384615385,High
86673,LAB DE CONTABILIDAD Y COSTOS-P04,39,237,19,18,0,0.3598646723646724,14.034722222222221,431.1025641025641,16813,0.2564102564102564,10,28,0.717948717948718,Medium
86005,TALL DE COMPETENCIAS DIGITALES-P01,50,235,4,18,13,2.710977777777778,135.54888888888888,669.64,33482,7.18,359,50,1.0,High
86020,TALL DE COMPETENCIAS DIGITALES-P02,51,235,4,18,13,1.9741666666666666,100.6825,489.6862745098039,24974,2.0392156862745097,104,48,0.9411764705882353,Medium
86670,FUND DE BUSINESS ANALYTICS-P02,39,228,14,18,0,1.464636752136752,57.12083333333333,508.53846153846155,19833,0.6153846153846154,24,37,0.9487179487179487,Medium
85825,GESTIÓN DEL TALENTO-P02,39,219,13,12,0,2.7380270655270653,106.78305555555555,468.7435897435897,18281,0.20512820512820512,8,36,0.9230769230769231,Medium
86675,INGLÉS II-P03,28,200,19,18,0,0.9529861111111111,26.683611111111112,336.75,9429,1.3928571428571428,39,27,0.9642857142857143,Medium
85481,PENSAMIENTO MATEMÁTICO-P05,17,72,10,1,2,1.728611111111111,29.386388888888888,413.05882352941177,7022,0.8823529411764706,15,16,0.9411764705882353,Medium
82725,LAB DE METOD CONT EV. CICLO-P03,23,70,16,0,2,3.9254951690821254,90.2863888888889,382.1304347826087,8789,0.5652173913043478,13,20,0.8695652173913043,Medium
84947,EST APLIC A BUSINESS ANALYTICS-P04,36,65,9,3,2,1.5883796296296298,57.181666666666665,341.94444444444446,12310,1.5277777777777777,55,36,1.0,Medium
84939,EST APLIC A BUSINESS ANALYTICS-P01,25,60,11,0,2,1.6721444444444444,41.80361111111111,304.32,7608,0.76,19,25,1.0,Medium
